pid,condition,class,type,accuracy
26,NUC,0,positive,1.0
26,NUC,1,positive,0.6666666666666666
26,NUC,2,positive,0.3333333333333333
26,NUC,3,positive,1.0
26,NUC,4,positive,0.3333333333333333
26,NUC,5,positive,1.0
26,NUC,6,positive,0.0
26,NUC,7,positive,1.0
26,NUC,0,negative,1.0
26,NUC,1,negative,0.3333333333333333
26,NUC,2,negative,0.3333333333333333
26,NUC,3,negative,0.6666666666666666
26,NUC,4,negative,0.0
26,NUC,5,negative,0.6666666666666666
26,NUC,6,negative,0.0
26,NUC,7,negative,0.3333333333333333
17,NUC,0,positive,0.3333333333333333
17,NUC,1,positive,1.0
17,NUC,2,positive,1.0
17,NUC,3,positive,0.3333333333333333
17,NUC,4,positive,1.0
17,NUC,5,positive,0.0
17,NUC,6,positive,0.3333333333333333
17,NUC,7,positive,1.0
17,NUC,0,negative,0.3333333333333333
17,NUC,1,negative,0.0
17,NUC,2,negative,1.0
17,NUC,3,negative,0.6666666666666666
17,NUC,4,negative,0.0
17,NUC,5,negative,0.0
17,NUC,6,negative,0.0
17,NUC,7,negative,1.0
16,NUC,0,positive,0.0
16,NUC,1,positive,0.0
16,NUC,2,positive,1.0
16,NUC,3,positive,0.3333333333333333
16,NUC,4,positive,0.0
16,NUC,5,positive,1.0
16,NUC,6,positive,0.0
16,NUC,7,positive,1.0
16,NUC,0,negative,0.0
16,NUC,1,negative,0.0
16,NUC,2,negative,0.0
16,NUC,3,negative,0.0
16,NUC,4,negative,0.0
16,NUC,5,negative,0.0
16,NUC,6,negative,0.3333333333333333
16,NUC,7,negative,1.0
18,NUC,0,positive,0.3333333333333333
18,NUC,1,positive,0.0
18,NUC,2,positive,0.3333333333333333
18,NUC,3,positive,0.3333333333333333
18,NUC,4,positive,0.6666666666666666
18,NUC,5,positive,1.0
18,NUC,6,positive,1.0
18,NUC,7,positive,1.0
18,NUC,0,negative,0.0
18,NUC,1,negative,0.3333333333333333
18,NUC,2,negative,0.0
18,NUC,3,negative,0.0
18,NUC,4,negative,0.3333333333333333
18,NUC,5,negative,0.3333333333333333
18,NUC,6,negative,1.0
18,NUC,7,negative,0.3333333333333333
42,NUC,0,positive,0.6666666666666666
42,NUC,1,positive,0.0
42,NUC,2,positive,0.6666666666666666
42,NUC,3,positive,1.0
42,NUC,4,positive,1.0
42,NUC,5,positive,1.0
42,NUC,6,positive,0.6666666666666666
42,NUC,7,positive,1.0
42,NUC,0,negative,0.0
42,NUC,1,negative,0.0
42,NUC,2,negative,0.3333333333333333
42,NUC,3,negative,1.0
42,NUC,4,negative,0.6666666666666666
42,NUC,5,negative,1.0
42,NUC,6,negative,0.0
42,NUC,7,negative,1.0
45,NUC,0,positive,0.3333333333333333
45,NUC,1,positive,0.3333333333333333
45,NUC,2,positive,1.0
45,NUC,3,positive,0.6666666666666666
45,NUC,4,positive,0.6666666666666666
45,NUC,5,positive,0.6666666666666666
45,NUC,6,positive,0.6666666666666666
45,NUC,7,positive,0.6666666666666666
45,NUC,0,negative,0.0
45,NUC,1,negative,0.0
45,NUC,2,negative,0.0
45,NUC,3,negative,0.0
45,NUC,4,negative,0.0
45,NUC,5,negative,0.0
45,NUC,6,negative,0.0
45,NUC,7,negative,0.0
60,NUC,0,positive,0.6666666666666666
60,NUC,1,positive,0.0
60,NUC,2,positive,0.0
60,NUC,3,positive,1.0
60,NUC,4,positive,1.0
60,NUC,5,positive,0.6666666666666666
60,NUC,6,positive,0.3333333333333333
60,NUC,7,positive,1.0
60,NUC,0,negative,0.0
60,NUC,1,negative,1.0
60,NUC,2,negative,0.0
60,NUC,3,negative,0.0
60,NUC,4,negative,0.0
60,NUC,5,negative,0.0
60,NUC,6,negative,0.0
60,NUC,7,negative,1.0
57,NUC,0,positive,0.6666666666666666
57,NUC,1,positive,0.0
57,NUC,2,positive,1.0
57,NUC,3,positive,1.0
57,NUC,4,positive,1.0
57,NUC,5,positive,1.0
57,NUC,6,positive,1.0
57,NUC,7,positive,1.0
57,NUC,0,negative,0.0
57,NUC,1,negative,0.0
57,NUC,2,negative,0.3333333333333333
57,NUC,3,negative,0.3333333333333333
57,NUC,4,negative,1.0
57,NUC,5,negative,0.0
57,NUC,6,negative,0.3333333333333333
57,NUC,7,negative,0.0
61,NUC,0,positive,0.0
61,NUC,1,positive,1.0
61,NUC,2,positive,1.0
61,NUC,3,positive,1.0
61,NUC,4,positive,0.3333333333333333
61,NUC,5,positive,1.0
61,NUC,6,positive,0.0
61,NUC,7,positive,1.0
61,NUC,0,negative,1.0
61,NUC,1,negative,0.3333333333333333
61,NUC,2,negative,0.0
61,NUC,3,negative,0.0
61,NUC,4,negative,1.0
61,NUC,5,negative,0.0
61,NUC,6,negative,0.6666666666666666
61,NUC,7,negative,1.0
32,NUC,0,positive,0.0
32,NUC,1,positive,1.0
32,NUC,2,positive,0.3333333333333333
32,NUC,3,positive,0.0
32,NUC,4,positive,1.0
32,NUC,5,positive,0.6666666666666666
32,NUC,6,positive,0.6666666666666666
32,NUC,7,positive,0.0
32,NUC,0,negative,0.0
32,NUC,1,negative,1.0
32,NUC,2,negative,0.3333333333333333
32,NUC,3,negative,0.3333333333333333
32,NUC,4,negative,0.0
32,NUC,5,negative,1.0
32,NUC,6,negative,0.0
32,NUC,7,negative,0.0
35,NUC,0,positive,1.0
35,NUC,1,positive,0.3333333333333333
35,NUC,2,positive,0.6666666666666666
35,NUC,3,positive,0.3333333333333333
35,NUC,4,positive,0.6666666666666666
35,NUC,5,positive,0.6666666666666666
35,NUC,6,positive,0.0
35,NUC,7,positive,0.6666666666666666
35,NUC,0,negative,0.0
35,NUC,1,negative,0.0
35,NUC,2,negative,0.6666666666666666
35,NUC,3,negative,0.3333333333333333
35,NUC,4,negative,0.0
35,NUC,5,negative,0.3333333333333333
35,NUC,6,negative,0.0
35,NUC,7,negative,0.0
49,NUC,0,positive,1.0
49,NUC,1,positive,1.0
49,NUC,2,positive,0.6666666666666666
49,NUC,3,positive,1.0
49,NUC,4,positive,1.0
49,NUC,5,positive,0.0
49,NUC,6,positive,0.3333333333333333
49,NUC,7,positive,1.0
49,NUC,0,negative,0.0
49,NUC,1,negative,0.6666666666666666
49,NUC,2,negative,0.0
49,NUC,3,negative,0.3333333333333333
49,NUC,4,negative,0.6666666666666666
49,NUC,5,negative,0.0
49,NUC,6,negative,0.3333333333333333
49,NUC,7,negative,0.0
25,NUC,0,positive,1.0
25,NUC,1,positive,1.0
25,NUC,2,positive,1.0
25,NUC,3,positive,1.0
25,NUC,4,positive,1.0
25,NUC,5,positive,1.0
25,NUC,6,positive,0.0
25,NUC,7,positive,0.6666666666666666
25,NUC,0,negative,0.0
25,NUC,1,negative,0.0
25,NUC,2,negative,0.0
25,NUC,3,negative,0.0
25,NUC,4,negative,0.6666666666666666
25,NUC,5,negative,0.3333333333333333
25,NUC,6,negative,0.0
25,NUC,7,negative,0.6666666666666666
15,NUC,0,positive,1.0
15,NUC,1,positive,0.3333333333333333
15,NUC,2,positive,0.6666666666666666
15,NUC,3,positive,0.0
15,NUC,4,positive,0.0
15,NUC,5,positive,0.0
15,NUC,6,positive,1.0
15,NUC,7,positive,1.0
15,NUC,0,negative,0.0
15,NUC,1,negative,0.0
15,NUC,2,negative,0.0
15,NUC,3,negative,0.0
15,NUC,4,negative,0.6666666666666666
15,NUC,5,negative,0.0
15,NUC,6,negative,0.0
15,NUC,7,negative,0.3333333333333333
39,NUC,0,positive,0.0
39,NUC,1,positive,0.3333333333333333
39,NUC,2,positive,0.3333333333333333
39,NUC,3,positive,0.3333333333333333
39,NUC,4,positive,0.0
39,NUC,5,positive,0.3333333333333333
39,NUC,6,positive,0.0
39,NUC,7,positive,1.0
39,NUC,0,negative,0.0
39,NUC,1,negative,0.3333333333333333
39,NUC,2,negative,0.0
39,NUC,3,negative,0.0
39,NUC,4,negative,0.0
39,NUC,5,negative,0.0
39,NUC,6,negative,0.0
39,NUC,7,negative,0.3333333333333333
64,NUC,0,positive,0.3333333333333333
64,NUC,1,positive,0.6666666666666666
64,NUC,2,positive,0.6666666666666666
64,NUC,3,positive,0.6666666666666666
64,NUC,4,positive,0.0
64,NUC,5,positive,1.0
64,NUC,6,positive,0.3333333333333333
64,NUC,7,positive,0.6666666666666666
64,NUC,0,negative,0.0
64,NUC,1,negative,0.3333333333333333
64,NUC,2,negative,0.0
64,NUC,3,negative,1.0
64,NUC,4,negative,0.3333333333333333
64,NUC,5,negative,0.3333333333333333
64,NUC,6,negative,0.6666666666666666
64,NUC,7,negative,0.6666666666666666
52,NUC,0,positive,1.0
52,NUC,1,positive,0.3333333333333333
52,NUC,2,positive,0.3333333333333333
52,NUC,3,positive,0.6666666666666666
52,NUC,4,positive,1.0
52,NUC,5,positive,1.0
52,NUC,6,positive,1.0
52,NUC,7,positive,1.0
52,NUC,0,negative,0.3333333333333333
52,NUC,1,negative,0.3333333333333333
52,NUC,2,negative,0.0
52,NUC,3,negative,0.0
52,NUC,4,negative,0.3333333333333333
52,NUC,5,negative,0.0
52,NUC,6,negative,0.6666666666666666
52,NUC,7,negative,1.0
28,UC,0,positive,0.6666666666666666
28,UC,1,positive,1.0
28,UC,2,positive,0.3333333333333333
28,UC,3,positive,0.0
28,UC,4,positive,0.0
28,UC,5,positive,1.0
28,UC,6,positive,1.0
28,UC,7,positive,1.0
28,UC,0,negative,0.3333333333333333
28,UC,1,negative,0.0
28,UC,2,negative,0.3333333333333333
28,UC,3,negative,0.0
28,UC,4,negative,0.0
28,UC,5,negative,1.0
28,UC,6,negative,1.0
28,UC,7,negative,0.6666666666666666
10,UC,0,positive,0.6666666666666666
10,UC,1,positive,0.0
10,UC,2,positive,0.0
10,UC,3,positive,0.0
10,UC,4,positive,0.6666666666666666
10,UC,5,positive,0.0
10,UC,6,positive,0.3333333333333333
10,UC,7,positive,0.3333333333333333
10,UC,0,negative,0.0
10,UC,1,negative,0.0
10,UC,2,negative,0.0
10,UC,3,negative,0.3333333333333333
10,UC,4,negative,0.0
10,UC,5,negative,0.0
10,UC,6,negative,0.3333333333333333
10,UC,7,negative,0.3333333333333333
44,UC,0,positive,0.0
44,UC,1,positive,1.0
44,UC,2,positive,0.0
44,UC,3,positive,0.6666666666666666
44,UC,4,positive,1.0
44,UC,5,positive,1.0
44,UC,6,positive,1.0
44,UC,7,positive,0.6666666666666666
44,UC,0,negative,0.3333333333333333
44,UC,1,negative,0.3333333333333333
44,UC,2,negative,0.0
44,UC,3,negative,0.3333333333333333
44,UC,4,negative,0.6666666666666666
44,UC,5,negative,0.6666666666666666
44,UC,6,negative,0.3333333333333333
44,UC,7,negative,0.0
11,UC,0,positive,0.6666666666666666
11,UC,1,positive,0.0
11,UC,2,positive,0.0
11,UC,3,positive,0.0
11,UC,4,positive,0.3333333333333333
11,UC,5,positive,1.0
11,UC,6,positive,0.3333333333333333
